Reference Date,Age Group,Unemplyment_thousand,Unemplyment_percentage_rate
Aug-19,15 - 24 years,36.7,12.8
Aug-19,15 - 74 years,121.1,5
Aug-19,25 - 74 years,84.4,4
Sep-19,15 - 24 years,35.5,12.3
Sep-19,15 - 74 years,119.2,4.9
Sep-19,25 - 74 years,83.6,3.9
Oct-19,15 - 24 years,32.3,11.2
Oct-19,15 - 74 years,115.7,4.7
Oct-19,25 - 74 years,83.4,3.9
Nov-19,15 - 24 years,32.1,10.9
Nov-19,15 - 74 years,116.8,4.8
Nov-19,25 - 74 years,84.7,3.9
Dec-19,15 - 24 years,34.3,11.2
Dec-19,15 - 74 years,119.6,4.8
Dec-19,25 - 74 years,85.4,3.9
Jan-20,15 - 24 years,36.3,11.4
Jan-20,15 - 74 years,121.8,4.9
Jan-20,25 - 74 years,85.5,3.9
Feb-20,15 - 24 years,36.9,11.7
Feb-20,15 - 74 years,120.5,4.8
Feb-20,25 - 74 years,83.7,3.8
Mar-20,15 - 24 years,35.8,12.4
Mar-20,15 - 74 years,119.2,4.9
Mar-20,25 - 74 years,83.4,3.9
Apr-20,15 - 24 years,32.2,13.3
Apr-20,15 - 74 years,106.5,4.7
Apr-20,25 - 74 years,74.3,3.7
May-20,15 - 24 years,32.8,14.9
May-20,15 - 74 years,110.1,5
May-20,25 - 74 years,77.3,3.9
Jun-20,15 - 24 years,38.4,16.9
Jun-20,15 - 74 years,126.2,5.6
Jun-20,25 - 74 years,87.8,4.4
Jul-20,15 - 24 years,50.6,19.4
Jul-20,15 - 74 years,157.9,6.8
Jul-20,25 - 74 years,107.2,5.2
Aug-20,15 - 24 years,56.3,20.3
Aug-20,15 - 74 years,173.6,7.2
Aug-20,25 - 74 years,117.4,5.5
Sep-20,15 - 24 years,60.2,21.1
Sep-20,15 - 74 years,179.2,7.4
Sep-20,25 - 74 years,119,5.5
Oct-20,15 - 24 years,46.8,17.4
Oct-20,15 - 74 years,154.5,6.4
Oct-20,25 - 74 years,107.7,5
Nov-20,15 - 24 years,43.2,16.4
Nov-20,15 - 74 years,149.3,6.2
Nov-20,25 - 74 years,106.1,4.9
Dec-20,15 - 24 years,39.2,15.1
Dec-20,15 - 74 years,149,6.2
Dec-20,25 - 74 years,109.8,5.1
Jan-21,15 - 24 years,41.9,15.9
Jan-21,15 - 74 years,166.2,6.9
Jan-21,25 - 74 years,124.3,5.8
Feb-21,15 - 24 years,48,17.5
Feb-21,15 - 74 years,180.3,7.5
Feb-21,25 - 74 years,132.3,6.2
Mar-21,15 - 24 years,54.7,19
Mar-21,15 - 74 years,188.1,7.7
Mar-21,25 - 74 years,133.4,6.2
Apr-21,15 - 24 years,60.9,20.1
Apr-21,15 - 74 years,186.3,7.5
Apr-21,25 - 74 years,125.5,5.8
May-21,15 - 24 years,56,18
May-21,15 - 74 years,173.1,6.9
May-21,25 - 74 years,117.1,5.3
Jun-21,15 - 24 years,49.9,15.5
Jun-21,15 - 74 years,160,6.3
Jun-21,25 - 74 years,110.1,5
Jul-21,15 - 24 years,42.5,12.8
Jul-21,15 - 74 years,148.5,5.8
Jul-21,25 - 74 years,106,4.8
Aug-21,15 - 24 years,38.2,11.3
Aug-21,15 - 74 years,141.3,5.5
Aug-21,25 - 74 years,103.1,4.6
Sep-21,15 - 24 years,38.5,11.3
Sep-21,15 - 74 years,136.8,5.3
Sep-21,25 - 74 years,98.3,4.4
Oct-21,15 - 24 years,41.2,12
Oct-21,15 - 74 years,137.7,5.3
Oct-21,25 - 74 years,96.5,4.3
Nov-21,15 - 24 years,42.1,12.1
Nov-21,15 - 74 years,137.2,5.2
Nov-21,25 - 74 years,95.1,4.2
Dec-21,15 - 24 years,39.2,11.2
Dec-21,15 - 74 years,133.6,5.1
Dec-21,25 - 74 years,94.3,4.1
Jan-22,15 - 24 years,36.1,10.1
Jan-22,15 - 74 years,132.3,5
Jan-22,25 - 74 years,96.3,4.2
Feb-22,15 - 24 years,30.1,8.4
Feb-22,15 - 74 years,126.9,4.8
Feb-22,25 - 74 years,96.8,4.2
Mar-22,15 - 24 years,25.4,7.2
Mar-22,15 - 74 years,135.8,5.1
Mar-22,25 - 74 years,110.4,4.8
